,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
0,DNB,-,-,-,-,-,-,-,1,v India,Rajkot,11 Jan 2013
1,36,78,50,3,0,72.00,4,bowled,2,v India,Kochi,15 Jan 2013
2,39,92,57,4,0,68.42,4,caught,1,v India,Ranchi,19 Jan 2013
3,57*,61,45,8,1,126.66,6,not out,1,v India,Mohali,23 Jan 2013
4,31,64,49,4,0,63.26,4,bowled,2,v India,Dharamsala,27 Jan 2013
5,56,92,64,4,0,87.50,4,bowled,1,v New Zealand,Hamilton,17 Feb 2013
6,79*,71,56,7,2,141.07,4,not out,2,v New Zealand,Napier,20 Feb 2013
7,28*,80,56,2,0,50.00,4,not out,2,v New Zealand,Auckland,23 Feb 2013
8,30,58,40,1,0,75.00,4,bowled,1,v New Zealand,Lord's,31 May 2013
9,28,45,27,1,0,103.70,4,caught,2,v New Zealand,Southampton,2 Jun 2013
10,33,52,50,1,0,66.00,4,run out,1,v New Zealand,Nottingham,5 Jun 2013
11,12,23,17,1,0,70.58,4,caught,1,v Australia,Birmingham,8 Jun 2013
12,68,74,55,5,0,123.63,4,caught,1,v Sri Lanka,The Oval,13 Jun 2013
13,38,47,40,2,1,95.00,4,caught,1,v New Zealand,Cardiff,16 Jun 2013
14,48,90,71,7,0,67.60,4,bowled,2,v South Africa,The Oval,19 Jun 2013
15,7,8,9,0,0,77.77,4,caught,2,v India,Birmingham,23 Jun 2013
16,3,26,15,0,0,20.00,4,bowled,2,v Australia,Manchester,8 Sep 2013
17,12,36,24,1,0,50.00,4,caught,1,v Australia,Birmingham,11 Sep 2013
18,0,1,1,0,0,0.00,4,caught,2,v Australia,Cardiff,14 Sep 2013
19,21,62,36,0,0,58.33,3,bowled,2,v Australia,Southampton,16 Sep 2013
20,3,25,23,0,0,13.04,3,lbw,1,v Australia,Melbourne,12 Jan 2014
21,2,8,8,0,0,25.00,3,lbw,1,v Australia,Brisbane,17 Jan 2014
22,55,114,86,3,1,63.95,4,caught,2,v Australia,Adelaide,26 Jan 2014
23,37,86,48,2,0,77.08,4,caught,2,v West Indies,North Sound,28 Feb 2014
24,23,51,43,2,0,53.48,4,caught,2,v West Indies,North Sound,2 Mar 2014
25,107,163,122,7,0,87.70,4,caught,1,v West Indies,North Sound,5 Mar 2014
26,17,7,6,4,0,283.33,6,caught,1,v Scotland,Aberdeen,9 May 2014
27,45,55,41,2,1,109.75,5,lbw,1,v Sri Lanka,The Oval,22 May 2014
28,0,2,3,0,0,0.00,4,bowled,2,v Sri Lanka,Chester-le-Street,25 May 2014
29,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Manchester,28 May 2014
30,43,90,68,1,0,63.23,4,caught,2,v Sri Lanka,Lord's,31 May 2014
31,10,16,11,1,0,90.90,4,caught,1,v Sri Lanka,Birmingham,3 Jun 2014
32,4,11,4,1,0,100.00,4,bowled,2,v India,Cardiff,27 Aug 2014
33,2,7,7,0,0,28.57,4,stumped,1,v India,Nottingham,30 Aug 2014
34,44,97,81,2,0,54.32,4,caught,1,v India,Birmingham,2 Sep 2014
35,113,133,108,10,3,104.62,4,caught,1,v India,Leeds,5 Sep 2014
36,2,7,8,0,0,25.00,4,caught,2,v Sri Lanka,Colombo (RPS),26 Nov 2014
37,42,71,57,1,0,73.68,4,lbw,1,v Sri Lanka,Colombo (RPS),29 Nov 2014
38,48*,90,48,2,2,100.00,4,not out,2,v Sri Lanka,Hambantota,3 Dec 2014
39,36,77,49,1,1,73.46,4,bowled,1,v Sri Lanka,Colombo (RPS),7 Dec 2014
40,104*,159,117,7,1,88.88,4,not out,2,v Sri Lanka,Pallekele,10 Dec 2014
41,55,114,76,4,0,72.36,4,bowled,2,v Sri Lanka,Pallekele,13 Dec 2014
42,80,142,99,5,0,80.80,4,lbw,2,v Sri Lanka,Colombo (RPS),16 Dec 2014
43,5,15,15,1,0,33.33,4,caught,1,v Australia,Sydney,16 Jan 2015
44,DNB,-,-,-,-,-,-,-,2,v India,Brisbane,20 Jan 2015
45,69,101,70,6,0,98.57,4,caught,1,v Australia,Hobart,23 Jan 2015
46,3,6,2,0,0,150.00,4,caught,2,v India,Perth,30 Jan 2015
47,25,46,37,2,0,67.56,4,lbw,2,v Australia,Perth,1 Feb 2015
48,5,20,12,0,0,41.66,4,caught,2,v Australia,Melbourne,14 Feb 2015
49,46,123,70,3,0,65.71,4,caught,1,v New Zealand,Wellington,20 Feb 2015
50,1,8,3,0,0,33.33,4,caught,1,v Scotland,Christchurch,23 Feb 2015
51,121,151,108,14,2,112.03,4,lbw,1,v Sri Lanka,Wellington,1 Mar 2015
52,29,79,47,2,0,61.70,4,caught,2,v Bangladesh,Adelaide,9 Mar 2015
53,DNB,-,-,-,-,-,-,-,2,v Afghanistan,Sydney,13 Mar 2015
54,104,108,78,13,2,133.33,3,caught,1,v New Zealand,Birmingham,9 Jun 2015
55,6,11,10,0,0,60.00,3,caught,2,v New Zealand,The Oval,12 Jun 2015
56,54,90,63,6,0,85.71,3,bowled,1,v New Zealand,Southampton,14 Jun 2015
57,106*,139,97,13,0,109.27,3,not out,2,v New Zealand,Nottingham,17 Jun 2015
58,4,8,5,1,0,80.00,3,stumped,2,v New Zealand,Chester-le-Street,20 Jun 2015
59,0,8,7,0,0,0.00,3,lbw,1,v Pakistan,Abu Dhabi,11 Nov 2015
60,63,121,77,3,0,81.81,3,bowled,1,v Pakistan,Abu Dhabi,13 Nov 2015
61,11,15,14,1,0,78.57,3,caught,2,v Pakistan,Sharjah,17 Nov 2015
62,71,105,71,3,2,100.00,3,stumped,1,v Pakistan,Dubai (DSC),20 Nov 2015
63,52,97,58,4,1,89.65,3,bowled,1,v South Africa,Bloemfontein,3 Feb 2016
64,38,93,64,2,0,59.37,3,bowled,2,v South Africa,Port Elizabeth,6 Feb 2016
65,125,165,113,10,5,110.61,3,run out,1,v South Africa,Centurion,9 Feb 2016
66,109,-,124,10,1,87.90,3,caught,1,v South Africa,Johannesburg,12 Feb 2016
67,27,41,25,4,0,108.00,3,lbw,1,v South Africa,Cape Town,14 Feb 2016
68,2,19,6,0,0,33.33,3,bowled,2,v Sri Lanka,Nottingham,21 Jun 2016
69,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Birmingham,24 Jun 2016
70,11*,15,16,1,0,68.75,3,not out,2,v Sri Lanka,Bristol,26 Jun 2016
71,65,83,54,9,0,120.37,3,caught,2,v Sri Lanka,The Oval,29 Jun 2016
72,93,149,106,6,0,87.73,3,bowled,1,v Sri Lanka,Cardiff,2 Jul 2016
73,61,101,72,6,0,84.72,3,run out,2,v Pakistan,Southampton,24 Aug 2016
74,89,201,108,5,0,82.40,3,caught,2,v Pakistan,Lord's,27 Aug 2016
75,85,146,86,8,0,98.83,3,caught,1,v Pakistan,Nottingham,30 Aug 2016
76,30,45,26,5,1,115.38,3,caught,2,v Pakistan,Leeds,1 Sep 2016
77,9,21,9,1,0,100.00,3,bowled,1,v Pakistan,Cardiff,4 Sep 2016
78,78,141,95,4,1,82.10,3,caught,1,v India,Pune,15 Jan 2017
79,54,65,55,8,0,98.18,3,caught,2,v India,Cuttack,19 Jan 2017
80,4,9,5,0,0,80.00,3,bowled,1,v West Indies,North Sound,3 Mar 2017
81,90*,195,127,3,0,70.86,3,not out,2,v West Indies,North Sound,5 Mar 2017
82,101,-,108,10,0,93.51,3,caught,1,v West Indies,Bridgetown,9 Mar 2017
83,49*,78,52,7,0,94.23,3,not out,2,v Ireland,Bristol,5 May 2017
84,73,106,73,8,0,100.00,3,caught,1,v Ireland,Lord's,7 May 2017
85,37,93,51,2,0,72.54,3,caught,1,v South Africa,Leeds,24 May 2017
86,39,50,41,6,0,95.12,3,run out,1,v South Africa,Southampton,27 May 2017
87,2,6,5,0,0,40.00,3,lbw,1,v South Africa,Lord's,29 May 2017
88,133*,202,129,11,1,103.10,3,not out,2,v Bangladesh,The Oval,1 Jun 2017
89,64,122,65,4,2,98.46,3,bowled,1,v New Zealand,Cardiff,6 Jun 2017
90,15,25,14,2,0,107.14,3,caught,2,v Australia,Birmingham,10 Jun 2017
91,46,82,56,2,0,82.14,3,caught,1,v Pakistan,Cardiff,14 Jun 2017
92,54,77,53,4,0,101.88,3,bowled,2,v West Indies,Manchester,19 Sep 2017
93,DNB,-,-,-,-,-,-,-,1,v West Indies,Nottingham,21 Sep 2017
94,84,120,79,7,2,106.32,3,lbw,1,v West Indies,Bristol,24 Sep 2017
95,14,-,15,2,0,93.33,3,caught,2,v West Indies,The Oval,27 Sep 2017
96,46*,-,44,2,1,104.54,3,not out,2,v West Indies,Southampton,29 Sep 2017
97,91*,186,110,5,0,82.72,4,not out,2,v Australia,Melbourne,14 Jan 2018
98,46*,-,58,1,0,79.31,4,not out,2,v Australia,Brisbane,19 Jan 2018
99,27,-,31,1,0,87.09,4,bowled,1,v Australia,Sydney,21 Jan 2018
100,0,-,7,0,0,0.00,4,caught,1,v Australia,Adelaide,26 Jan 2018
101,62,-,68,2,0,91.17,4,caught,1,v Australia,Perth,28 Jan 2018
102,71,124,75,5,1,94.66,3,bowled,1,v New Zealand,Hamilton,25 Feb 2018
103,9,26,18,1,0,50.00,3,caught,2,v New Zealand,Mount Maunganui,28 Feb 2018
104,20,26,22,3,0,90.90,3,caught,1,v New Zealand,Wellington,3 Mar 2018
105,102,155,101,6,2,100.99,3,caught,1,v New Zealand,Dunedin,7 Mar 2018
106,23*,47,37,1,0,62.16,3,not out,2,v New Zealand,Christchurch,10 Mar 2018
107,29,-,25,3,1,116.00,4,run out,2,v Scotland,Edinburgh,10 Jun 2018
108,50,111,71,4,0,70.42,4,caught,2,v Australia,The Oval,13 Jun 2018
109,22,40,24,2,0,91.66,4,caught,1,v Australia,Cardiff,16 Jun 2018
110,4*,-,6,0,0,66.66,7,not out,1,v Australia,Nottingham,19 Jun 2018
111,27,-,35,2,1,77.14,4,bowled,2,v Australia,Chester-le-Street,21 Jun 2018
112,1,-,3,0,0,33.33,4,caught,2,v Australia,Manchester,24 Jun 2018
113,3,-,6,0,0,50.00,3,lbw,1,v India,Nottingham,12 Jul 2018
114,113*,-,116,8,1,97.41,3,not out,1,v India,Lord's,14 Jul 2018
115,100*,155,120,10,0,83.33,3,not out,2,v India,Leeds,17 Jul 2018
116,25*,-,28,4,0,89.28,3,not out,1,v Sri Lanka,Dambulla,10 Oct 2018
117,71,116,83,6,0,85.54,3,caught,1,v Sri Lanka,Dambulla,13 Oct 2018
118,8,-,10,1,0,80.00,3,bowled,2,v Sri Lanka,Pallekele,17 Oct 2018
119,32*,-,57,0,0,56.14,3,not out,2,v Sri Lanka,Pallekele,20 Oct 2018
120,10,-,16,0,0,62.50,3,caught,2,v Sri Lanka,Colombo (RPS),23 Oct 2018
121,102,167,97,9,0,105.15,3,caught,2,v West Indies,Bridgetown,20 Feb 2019
122,36,58,40,6,0,90.00,3,caught,2,v West Indies,Bridgetown,22 Feb 2019
123,TDNB,-,-,-,-,-,-,-,-,v West Indies,St George's,25 Feb 2019
124,5,-,10,0,0,50.00,3,caught,1,v West Indies,St George's,27 Feb 2019
125,1,-,2,0,0,50.00,3,caught,1,v West Indies,Gros Islet,2 Mar 2019
126,7,8,6,1,0,116.66,3,lbw,2,v Ireland,Dublin (Malahide),3 May 2019
127,TDNB,-,-,-,-,-,-,-,-,v Pakistan,The Oval,8 May 2019
