,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
0,DNB,-,-,-,-,-,-,-,1,v West Indies,Melbourne,19 Feb 2010
1,41,63,53,3,0,77.35,7,caught,1,v England,Cardiff,24 Jun 2010
2,20,30,21,1,0,95.23,7,lbw,1,v England,Manchester,27 Jun 2010
3,18*,7,8,4,0,225.00,7,not out,1,v England,The Oval,30 Jun 2010
4,15,16,13,1,0,115.38,7,caught,1,v England,Lord's,3 Jul 2010
5,DNB,-,-,-,-,-,-,-,1,v India,Visakhapatnam,20 Oct 2010
6,12,19,15,1,0,80.00,7,caught,1,v Sri Lanka,Melbourne,3 Nov 2010
7,33,65,37,1,0,89.18,7,stumped,2,v Sri Lanka,Sydney,5 Nov 2010
8,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Brisbane,7 Nov 2010
9,5,6,4,1,0,125.00,4,caught,2,v England,Melbourne,16 Jan 2011
10,0,4,2,0,0,0.00,7,bowled,1,v England,Hobart,21 Jan 2011
11,26,52,37,2,1,70.27,7,caught,2,v England,Sydney,23 Jan 2011
12,46*,67,47,4,0,97.87,7,not out,2,v England,Adelaide,26 Jan 2011
13,24*,55,25,1,1,96.00,7,not out,1,v England,Brisbane,30 Jan 2011
14,0,3,2,0,0,0.00,8,run out,2,v England,Sydney,2 Feb 2011
15,11,4,4,1,1,275.00,7,caught,1,v Zimbabwe,Ahmedabad,21 Feb 2011
16,DNB,-,-,-,-,-,-,-,2,v New Zealand,Nagpur,25 Feb 2011
17,TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Colombo (RPS),5 Mar 2011
18,17*,32,15,2,0,113.33,7,not out,1,v Kenya,Bengaluru,13 Mar 2011
19,DNB,-,-,-,-,-,-,-,2,v Canada,Bengaluru,16 Mar 2011
20,25,46,32,1,0,78.12,7,bowled,1,v Pakistan,Colombo (RPS),19 Mar 2011
21,1,3,3,0,0,33.33,7,bowled,1,v Bangladesh,Dhaka,9 Apr 2011
22,DNB,-,-,-,-,-,-,-,2,v Bangladesh,Dhaka,11 Apr 2011
23,5,12,9,1,0,55.55,4,caught,1,v Bangladesh,Dhaka,13 Apr 2011
24,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Pallekele,10 Aug 2011
25,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Hambantota,14 Aug 2011
26,18,34,28,0,0,64.28,7,run out,2,v Sri Lanka,Hambantota,16 Aug 2011
27,DNB,-,-,-,-,-,-,-,1,v South Africa,Centurion,19 Oct 2011
28,26,60,39,0,0,66.66,5,caught,2,v South Africa,Port Elizabeth,23 Oct 2011
29,TDNB,-,-,-,-,-,-,-,-,v Ireland,Belfast,23 Jun 2012
