,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
0,0,7,9,0,0,0.00,4,bowled,1,v India,Dambulla,10 Aug 2010
1,0,3,2,0,0,0.00,4,caught,1,v Sri Lanka,Dambulla,13 Aug 2010
2,TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Dambulla,19 Aug 2010
3,13,33,27,1,0,48.14,6,bowled,2,v India,Dambulla,25 Aug 2010
4,108,193,132,6,2,81.81,5,caught,2,v Bangladesh,Dhaka,14 Oct 2010
5,0,7,6,0,0,0.00,5,caught,2,v Bangladesh,Dhaka,17 Oct 2010
6,25,73,51,0,0,49.01,3,caught,2,v India,Guwahati,28 Nov 2010
7,29,56,46,4,0,63.04,3,bowled,1,v India,Jaipur,1 Dec 2010
8,21,71,50,1,0,42.00,3,lbw,1,v India,Vadodara,4 Dec 2010
9,42,77,63,1,0,66.66,5,bowled,2,v Pakistan,Christchurch,29 Jan 2011
10,15,51,36,1,0,41.66,5,caught,1,v Pakistan,Napier,1 Feb 2011
11,34*,38,27,4,0,125.92,6,not out,1,v Canada,Mumbai,13 Mar 2011
12,5,12,8,0,0,62.50,5,stumped,2,v Sri Lanka,Mumbai,18 Mar 2011
13,38*,63,41,1,1,92.68,6,not out,1,v South Africa,Dhaka,25 Mar 2011
14,22,23,16,3,0,137.50,6,lbw,1,v Sri Lanka,Colombo (RPS),29 Mar 2011
15,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Harare,20 Oct 2011
16,14*,27,18,1,0,77.77,5,not out,2,v Zimbabwe,Harare,22 Oct 2011
17,100*,94,69,11,1,144.92,6,not out,1,v Zimbabwe,Bulawayo,25 Oct 2011
18,35,67,53,4,0,66.03,4,caught,1,v Zimbabwe,Dunedin,3 Feb 2012
19,4,7,8,0,0,50.00,5,caught,1,v Zimbabwe,Whangarei,6 Feb 2012
20,38,49,40,3,0,95.00,5,lbw,1,v Zimbabwe,Napier,9 Feb 2012
21,55,114,69,4,0,79.71,4,caught,1,v South Africa,Wellington,25 Feb 2012
22,13,35,18,0,0,72.22,4,caught,1,v South Africa,Napier,29 Feb 2012
23,22,69,43,1,0,51.16,4,run out,1,v South Africa,Auckland,3 Mar 2012
24,24,67,52,1,0,46.15,4,caught,1,v West Indies,Kingston,5 Jul 2012
25,58,103,65,4,1,89.23,4,lbw,2,v West Indies,Kingston,7 Jul 2012
26,9,26,17,1,0,52.94,4,bowled,1,v West Indies,Basseterre,11 Jul 2012
27,3,13,12,0,0,25.00,5,lbw,2,v West Indies,Basseterre,14 Jul 2012
28,69,122,84,5,1,82.14,5,caught,2,v West Indies,Basseterre,16 Jul 2012
29,DNB,-,-,-,-,-,-,-,1,v Sri Lanka,Pallekele,4 Nov 2012
30,5,9,6,0,0,83.33,7,caught,1,v Sri Lanka,Pallekele,6 Nov 2012
31,21,50,29,2,0,72.41,5,bowled,1,v Sri Lanka,Hambantota,10 Nov 2012
32,TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Hambantota,12 Nov 2012
33,5,24,15,1,0,33.33,4,caught,2,v South Africa,Paarl,19 Jan 2013
34,145*,207,136,17,1,106.61,3,not out,1,v South Africa,Kimberley,22 Jan 2013
35,6,17,17,1,0,35.29,3,caught,1,v South Africa,Potchefstroom,25 Jan 2013
36,74,136,99,6,0,74.74,3,run out,2,v England,Hamilton,17 Feb 2013
37,33,82,47,3,0,70.21,3,bowled,1,v England,Napier,20 Feb 2013
38,7,12,12,1,0,58.33,3,caught,1,v England,Auckland,23 Feb 2013
39,0,3,2,0,0,0.00,3,caught,2,v England,Lord's,31 May 2013
40,55,87,63,3,0,87.30,3,bowled,1,v England,Southampton,2 Jun 2013
41,19,41,28,1,0,67.85,3,lbw,2,v England,Nottingham,5 Jun 2013
42,16,29,22,1,0,72.72,3,lbw,2,v Sri Lanka,Cardiff,9 Jun 2013
43,18*,45,37,1,0,48.64,3,not out,2,v Australia,Birmingham,12 Jun 2013
44,67,92,54,8,1,124.07,3,caught,2,v England,Cardiff,16 Jun 2013
45,absent,-,-,-,-,-,-,-,2,v Bangladesh,Dhaka,29 Oct 2013
46,8,44,22,0,0,36.36,3,caught,1,v West Indies,Auckland,26 Dec 2013
47,47,61,55,3,0,85.45,3,caught,1,v West Indies,Nelson,4 Jan 2014
48,16,27,21,2,0,76.19,3,lbw,2,v West Indies,Hamilton,8 Jan 2014
49,71,110,88,7,0,80.68,3,caught,1,v India,Napier,19 Jan 2014
50,77,99,87,5,1,88.50,3,stumped,1,v India,Hamilton,22 Jan 2014
51,65,98,74,4,1,87.83,3,bowled,1,v India,Auckland,25 Jan 2014
52,60,100,82,2,2,73.17,3,run out,2,v India,Hamilton,28 Jan 2014
53,88,117,91,8,1,96.70,3,caught,1,v India,Wellington,31 Jan 2014
54,10,21,19,2,0,52.63,3,caught,1,v Pakistan,Dubai (DSC),8 Dec 2014
55,70*,127,91,7,0,76.92,3,not out,2,v Pakistan,Sharjah,12 Dec 2014
56,46,82,52,6,0,88.46,3,caught,2,v Pakistan,Sharjah,14 Dec 2014
57,123,150,105,12,0,117.14,3,bowled,1,v Pakistan,Abu Dhabi,17 Dec 2014
58,97,156,119,8,0,81.51,3,caught,1,v Pakistan,Abu Dhabi,19 Dec 2014
59,15,43,22,1,0,68.18,3,caught,2,v Sri Lanka,Christchurch,11 Jan 2015
60,103,155,107,6,1,96.26,3,bowled,2,v Sri Lanka,Nelson,20 Jan 2015
61,26,60,32,4,0,81.25,3,caught,1,v Sri Lanka,Dunedin,23 Jan 2015
62,97,141,95,8,2,102.10,3,run out,1,v Sri Lanka,Dunedin,25 Jan 2015
63,54,120,83,4,0,65.06,3,caught,2,v Sri Lanka,Wellington,29 Jan 2015
64,112,132,88,14,1,127.27,3,caught,1,v Pakistan,Napier,3 Feb 2015
65,57,70,65,5,1,87.69,3,caught,1,v Sri Lanka,Christchurch,14 Feb 2015
66,38,60,45,6,0,84.44,3,caught,2,v Scotland,Dunedin,17 Feb 2015
67,9*,23,22,1,0,40.90,3,not out,2,v England,Wellington,20 Feb 2015
68,45*,-,42,5,1,107.14,3,not out,2,v Australia,Auckland,28 Feb 2015
69,33,58,45,4,0,73.33,3,caught,2,v Afghanistan,Napier,8 Mar 2015
70,1,3,2,0,0,50.00,3,caught,2,v Bangladesh,Hamilton,13 Mar 2015
71,33,48,35,5,0,94.28,3,caught,1,v West Indies,Wellington,21 Mar 2015
72,6,12,11,1,0,54.54,3,bowled,2,v South Africa,Auckland,24 Mar 2015
73,12,52,33,1,0,36.36,3,caught,1,v Australia,Melbourne,29 Mar 2015
74,45,54,43,8,0,104.65,3,caught,2,v England,Birmingham,9 Jun 2015
75,93,121,88,12,1,105.68,3,caught,1,v England,The Oval,12 Jun 2015
76,118,159,113,12,1,104.42,3,caught,2,v England,Southampton,14 Jun 2015
77,90,118,70,12,1,128.57,3,caught,1,v England,Nottingham,17 Jun 2015
78,50,81,65,5,0,76.92,3,bowled,1,v England,Chester-le-Street,20 Jun 2015
79,97,124,102,11,1,95.09,3,bowled,1,v Zimbabwe,Harare,2 Aug 2015
80,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Harare,4 Aug 2015
81,90,126,109,8,1,82.56,3,caught,1,v Zimbabwe,Harare,7 Aug 2015
82,47,93,69,4,1,68.11,3,caught,2,v South Africa,Centurion,19 Aug 2015
83,7,12,13,1,0,53.84,3,bowled,2,v South Africa,Potchefstroom,23 Aug 2015
84,39,75,59,4,0,66.10,3,bowled,2,v South Africa,Durban,26 Aug 2015
85,59,102,73,7,0,80.82,3,caught,1,v Sri Lanka,Nelson,31 Dec 2015
86,12,15,12,1,0,100.00,3,caught,1,v Sri Lanka,Nelson,2 Jan 2016
87,61,91,72,7,0,84.72,3,caught,1,v Sri Lanka,Mount Maunganui,5 Jan 2016
88,10,55,17,0,0,58.82,3,bowled,1,v Pakistan,Wellington,25 Jan 2016
89,84,128,86,9,3,97.67,3,stumped,2,v Pakistan,Auckland,31 Jan 2016
90,0,8,8,0,0,0.00,3,caught,1,v Australia,Auckland,3 Feb 2016
91,60,100,74,5,1,81.08,3,caught,1,v Australia,Wellington,6 Feb 2016
92,18,38,28,1,0,64.28,3,bowled,1,v Australia,Hamilton,8 Feb 2016
93,3,15,9,0,0,33.33,3,caught,1,v India,Dharamsala,16 Oct 2016
